Ovary_1	Ovary_2	Ovary_3	Testis_1	Testis_2	Testis_3
8	2	2	0	1	3
15	4	10	3	2	3
11	12	9	585	1009	656
6	9	8	5	12	3
37	5	5	2	4	9
20	20	8	12	9	9
695	481	374	38	63	61
27	27	11	4	7	3
20	28	12	34	24	25
2	2	0	0	0	0
3	1	0	0	0	0
21	17	10	3	5	4
44	39	33	109	157	71
142	71	23	2	4	7
1017	868	393	183	100	88
21	6	2	4	4	8
402	392	213	33	17	37
266	159	119	6	22	10
603	545	296	191	263	267
6	18	13	6	9	5
5	4	6	2	0	1
548	546	264	14	19	15
0	18	14	4	33	19
0	0	0	136	6	16
310	307	133	571	695	449
6	11	4	31	9	1
1149	1045	778	994	1126	1059
2037	3923	2065	66	155	43
92	21	11	334	399	133
475	412	224	1248	1660	1010
1769	1640	931	3844	5365	5369
252	156	101	779	672	519
1683	1526	817	897	1276	1407
1	1	1	3	4	6
70	27	7	13	14	33
15	15	1	64	85	7
2	5	0	4	8	5
2203	2317	1309	2187	3165	2291
222	194	125	282	135	122
343	269	177	203	103	91
83	118	69	23	13	22
57	55	45	69	73	73
3501	4181	2210	2586	2767	2618
965	1179	1199	436	716	380
1444	896	503	2131	2886	1735
838	689	394	129	143	108
503	300	237	61	63	72
1164	845	607	353	387	318
1283	1252	687	1204	1866	1171
44	69	36	129	195	189
1	5	1	37	21	10
1133	1166	567	1062	1135	834
7	0	1	18	23	7
21	17	7	12	9	7
5020	3178	2534	1252	1862	1577
0	0	0	0	3	0
450	409	205	61	69	25
198	1212	403	2768	3035	1725
1398	1470	678	358	401	297
1941	2102	1167	920	1395	1201
4347	6168	2947	2291	2440	2020
176	177	101	31	27	23
27	46	16	43	50	32
642	669	346	324	278	251
3691	4047	2344	2261	2472	2675
832	930	476	1036	1000	735
2071	2268	1471	549	625	670
2187	1717	1234	1354	1662	1411
2597	1783	1142	570	739	711
3236	2338	1062	10479	10625	10409
20	22	9	88	88	56
920	1237	655	1814	1910	1839
3788	4173	2658	1249	1985	1638
776	702	352	1389	1997	1319
1355	1237	754	1229	2351	1945
4570	5100	2086	2429	3239	2737
687	538	357	345	473	303
242	151	99	96	107	71
4806	4825	2723	1506	1304	1734
1858	1689	780	557	453	629
1243	1109	724	305	638	480
1707	1463	1155	1367	1863	1128
50	30	28	14	33	25
8	7	5	97	86	54
2	0	0	7	3	6
105	56	24	141	407	194
0	0	0	0	1	1
978	845	478	284	321	280
4865	5234	2793	769	886	746
1534	1238	753	2000	2218	2625
131	149	73	260	201	203
820	938	469	71	104	91
1735	1610	852	200	236	185
9	12	7	5	8	5
486	470	289	212	229	196
18735	17931	11537	5007	4422	4226
10	5	2	5	3	0
137	167	73	23	31	21
264	260	272	688	1015	755
347	320	207	170	190	183
195	167	90	86	148	65
651	647	331	624	606	451
328	288	169	264	313	315
657	851	605	162	181	188
1962	1713	1180	1156	1493	1130
865	753	378	1191	1562	1078
994	950	581	253	226	221
392	110	92	2028	2006	1924
66	15	27	1089	1682	1246
4490	4197	2680	3692	4596	3892
476	195	291	178	257	93
4	4	3	7059	9514	6554
21	22	8	29	24	17
1688	1656	1118	979	1210	944
2313	1849	1185	230	344	334
442	290	122	20	20	27
1787	1566	1084	335	294	297
8	38	9	69	81	48
4	5	1	63	55	49
1355	1122	668	1453	1975	1460
123	58	44	22	93	26
1258	1239	518	882	1191	682
149	92	67	3232	3667	3609
1387	1167	686	483	436	372
7055	7061	4745	6998	6599	5901
315	394	159	75	95	65
6	7	8	20	16	15
113	142	44	11	6	12
1330	924	449	199	199	193
295	103	190	40	32	216
2732	2280	1406	329	350	342
1786	1776	1008	135	125	131
61	51	36	87	131	109
11	10	6	60	47	42
1965	664	407	11	35	29
653	453	352	274	323	267
101	63	45	67	134	89
2232	2271	1114	597	743	718
9	17	8	49	106	61
1125	761	602	62	62	81
30	9	5	14	24	22
175	47	16	83	99	59
137	88	55	56	105	16
0	1	0	0	2	0
18	17	36	4	6	11
421	184	92	51	69	21
524	296	194	26	72	6
7	1	2	2	1	1
325	124	81	61	116	36
179	50	85	198	174	18
22	13	29	16	45	10
7	5	4	29	26	34
1177	820	441	177	349	230
565	793	347	20184	25988	17914
0	1	0	8	5	6
9	3	2	0	1	0
89	34	51	6	5	4
2	4	1	0	2	3
549	227	219	1517	2656	2353
8	9	2	5	17	4
6308	6588	4071	5230	6408	5315
858	1098	753	603	934	611
2318	2042	1041	3307	3358	3061
12568	12484	8435	5452	6831	5918
341	386	235	80	136	89
216	194	128	17	29	24
4	2	1	8	9	29
0	1	1	12	17	25
18	29	18	24	29	25
0	0	0	5	38	14
2369	1903	1409	591	922	663
1246	1944	643	38	130	77
1346	1065	639	263	293	247
715	554	394	672	737	465
0	1	0	5	8	7
0	0	0	15	15	12
972	679	274	11	7	11
0	1	0	1	2	1
17	8	7	38	55	27
70	82	55	77	121	122
242	258	220	347	276	237
40	57	21	44	371	146
2974	3377	2250	672	1185	950
2125	1883	1124	14994	18022	13470
42	27	121	42	60	88
2757	2473	1161	2157	2717	2478
3	1	0	44	37	35
1725	1524	804	8580	8998	7331
1560	1548	968	669	422	588
159	171	71	203	215	163
0	0	0	2	3	6
2638	2969	1082	1787	2405	2099
23	29	7	21	43	28
190	130	96	212	233	178
824	953	464	715	887	491
126	119	40	140	147	94
1030	774	516	366	442	477
1	9	1	57	103	48
2728	2747	1313	762	1285	901
0	0	0	0	0	1
2462	2184	1516	232	358	261
2363	2252	1284	1884	2906	1838
255	292	144	210	266	167
3	4	6	8	19	18
62	97	39	20	14	11
17	39	13	22	44	16
1881	1756	1071	491	492	475
2443	2120	1322	679	912	606
305	267	268	824	1080	619
598	690	356	225	241	167
814	818	539	727	840	820
